0.000 ,1.000 ,0
0.040 ,0.975 ,0.025 
0.080 ,0.930 ,0.045 
0.120 ,0.828 ,0.102 
0.160 ,0.673 ,0.155 
0.200 ,0.487 ,0.186 
0.240 ,0.278 ,0.209 
0.280 ,0.131 ,0.147 
0.320 ,0.061 ,0.070 
0.360 ,0.032 ,0.029 
0.400 ,0.017 ,0.015 
0.440 ,0.009 ,0.008 
0.480 ,0.006 ,0.003 
0.520 ,0.004 ,0.002 
0.560 ,0.003 ,0.001 
0.600 ,0.002 ,0.001 
0.640 ,0.002 ,0.000 
0.680 ,0.002 ,0.001 
0.720 ,0.002 ,0.000 
0.760 ,0.001 ,0.000 
0.800 ,0.001 ,0.000 
0.840 ,0.001 ,0.000 
0.880 ,0.001 ,0.000 
0.920 ,0.000 ,0.001 
0.960 ,0.000 ,0.000 
